,modo,tipo,bairro,rua,numero,metros_quadrados,quartos,vagas,banheiros,valor
0,aluguel,Apartamento,Campo Grande, Rua Banco dos Ingleses,,39.14,1,1,1,1280.0
1,aluguel,Apartamento,Costa Azul, Rua Monsenhor Gaspar Sadoc,,60.69,2,1,2,1280.0
2,aluguel,Apartamento,Politeama, Rua Politeama de Baixo,,58.0,2,1,1,1280.0
3,aluguel,Apartamento,Politeama, Rua Politeama de Cima,,108.0,3,0,1,1280.0
4,aluguel,Apartamento,Costa Azul, Rua Monsenhor Gaspar Sadoc,481.0,53.0,1,1,1,1290.0
5,aluguel,Apartamento,Ondina, Rua Doutor João Garcez Fróes,,47.55,1,0,1,1296.0
6,aluguel,Apartamento,Barra, Rua Miguel Burnier,,56.0,1,1,1,1296.0
7,aluguel,Village,São Cristóvão, Rua Jurataí,,67.0,2,1,1,1296.0
8,aluguel,Apartamento,Pituba, Rua Marechal Andréa,,50.0,1,1,1,1300.0
9,aluguel,Apartamento,Ondina, Rua Professor Clementino Fraga,,48.0,1,1,1,1300.0
10,aluguel,Apartamento,Chame-chame, Avenida Centenário,,90.0,2,1,1,1300.0
11,aluguel,Apartamento,Daniel Lisboa, Rua Rodolfo Pimentel,,74.0,2,1,2,1300.0
12,aluguel,Apartamento,Stiep, Rua Edístio Pondé,66.0,85.0,3,1,2,1300.0
13,aluguel,Apartamento,Monte Serrat, Rua Segundo Barreiro,37.0,115.0,4,0,3,1300.0
14,aluguel,Apartamento,Nazaré, Rua da Poeira,,50.0,1,0,1,1350.0
15,aluguel,Sala,Caminho das Árvores,,,35.0,0,0,0,1350.0
16,aluguel,Apartamento,Politeama, Rua Clóvis Spínola,,102.58,2,1,1,1380.0
17,aluguel,Apartamento,Vila Laura, Rua Genésio Sales,,83.0,2,0,1,1380.0
18,aluguel,Apartamento,Monte Serrat, Rua Rio Jaguaripe,26.0,160.0,2,0,1,1380.0
19,aluguel,Apartamento,Acupe de Brotas, Ladeira do Acupe,34.0,110.0,2,1,2,1390.0
20,aluguel,Apartamento,Pituba, Alameda Benevento,,50.0,1,1,1,1400.0
21,aluguel,Apartamento,Pituba,,,49.0,1,2,1,1400.0
22,aluguel,Apartamento,Caminho das Árvores, Rua Alceu Amoroso Lima,668.0,27.55,1,1,1,1400.0
23,aluguel,Apartamento,Federação, Avenida Cardeal da Silva,204.0,55.0,2,1,2,1400.0
24,aluguel,Apartamento,Garcia, Avenida Leovigildo Filgueiras,,80.0,2,1,1,1400.0
25,aluguel,Apartamento,Armação, Rua Professor Euclides Alípio de Oliveira,,82.0,2,1,2,1400.0
26,aluguel,Apartamento,Ribeira, Rua Léllis Piedade,,105.0,2,0,2,1400.0
27,aluguel,Apartamento,Caminho de Areia, Rua Professor José Martins Rosas,41.0,140.0,3,0,2,1400.0
28,aluguel,Apartamento,Brotas,,,93.0,3,1,2,1400.0
29,aluguel,Apartamento,São Marcos, Conjunto Bosque Imperial,4.0,75.0,3,1,2,1400.0
30,aluguel,Loja,Roma, Rua Henrique Dias,20.0,30.0,0,0,1,1400.0
31,aluguel,Loja,Baixa dos Sapateiros, Avenida José Joaquim Seabra,57.0,75.0,0,0,1,1400.0
32,aluguel,Sala,Parque Bela Vista, Outros 1ª Travessa da Igreja,,100.0,0,0,2,1400.0
33,aluguel,Sala,Rio Vermelho, Rua Caetité,285.0,70.0,0,2,0,1400.0
34,aluguel,Apartamento,Santa Teresa, Rua Parambu,,40.0,1,1,1,1404.0
35,aluguel,Apartamento,Barbalho, Rua Clínio de Jesus,,85.0,2,1,2,1404.0
36,aluguel,Kitchenette,Jardim Apipema, Rua Nita Costa,,40.03,1,1,1,1404.0
37,aluguel,Apartamento,Barra, Avenida Oceânica,1621.0,41.0,1,1,1,1448.0
38,aluguel,Apartamento,Pituaçu, Rua José Chalub Bastos,,58.0,2,1,1,1450.0
39,aluguel,Apartamento,Pituaçu, Rua José Chalub Bastos,,58.0,2,1,1,1450.0
40,aluguel,Apartamento,Brotas, Rua Otacílio Santos,,57.0,2,1,2,1450.0
41,aluguel,Apartamento,Caminho das Árvores, Rua Ewerton Visco,,50.0,1,1,1,1480.0
42,aluguel,Apartamento,Piatã, Rua Camuripeba,22.0,60.0,2,1,2,1480.0
43,aluguel,Apartamento,Piatã, Rua Camuripeba,22.0,60.0,2,1,2,1480.0
44,aluguel,Apartamento,Resgate, Rua Nossa Senhora do Resgate,375.0,55.7,2,1,1,1490.0
45,aluguel,Apartamento,Garcia, Avenida Leovigildo Filgueiras,347.0,97.0,2,0,3,1500.0
46,aluguel,Apartamento,Jardim Apipema, Rua Quintino de Carvalho,,80.0,2,1,2,1500.0
47,aluguel,Apartamento,Armação,,,65.0,2,1,1,1500.0
48,aluguel,Apartamento,Nazaré, Rua Desembargador Adolfo Ribeiro Santos Souza,10.0,75.0,3,1,3,1500.0
49,aluguel,Apartamento,Pituba, Rua Sargento Astrolábio,308.0,120.0,3,1,3,1500.0
50,aluguel,Conjunto de salas,Barra, Rua Lord Cochrane,,50.0,0,0,1,1500.0
51,aluguel,Loja,Barra, Avenida Oceânica,,50.0,0,0,1,1500.0
52,aluguel,Loja,Bonfim, Rua Henrique Dias,223.0,50.0,0,0,1,1500.0
53,aluguel,Loja,Baixa dos Sapateiros, Avenida José Joaquim Seabra,111.0,30.0,0,0,0,1500.0
54,aluguel,Loja,Nazaré, Ladeira da Independência,65.0,75.0,0,0,2,1500.0
55,aluguel,Loja,Itacaranha, Avenida Afrânio Peixoto,1430.0,60.0,0,2,2,1500.0
56,aluguel,Sala,Caminho das Árvores, Rua Ewerton Visco,290.0,39.09,0,1,1,1500.0
57,aluguel,Sala,Caminho das Árvores, Rua Ewerton Visco,,32.0,0,1,1,1500.0
58,aluguel,Sala,Paralela, Avenida Luís Viana,,33.57,0,1,1,1500.0
59,aluguel,Sala,Ondina, Avenida Anita Garibaldi,,63.0,0,1,0,1500.0
60,aluguel,Sala,Cidadela, Rua Senador Teotônio Vilela,,90.0,0,2,1,1500.0
61,aluguel,Sala,Caminho das Árvores, Rua Ewerton Visco,,32.0,0,1,1,1500.0
62,aluguel,Sala,Caminho das Árvores, Avenida Tancredo Neves,,33.13,0,1,1,1500.0
63,aluguel,Sobre-loja,Baixa de Quintas, Rua General Argolo,40.0,100.0,0,0,1,1500.0
64,aluguel,Apartamento,Jardim Apipema, Rua Professor Sabino Silva,,104.0,2,1,2,1512.0
65,aluguel,Apartamento,Armação, Rua Rodrigues Dórea,,59.46,1,1,1,1550.0
66,aluguel,Apartamento,Matatu, Rua Bandeirantes,,65.0,2,2,1,1550.0
67,aluguel,Apartamento,Boa Viagem, Rua Gonçalves de Abreu,14.0,125.0,3,0,3,1550.0
68,aluguel,Apartamento,Federação, Rua Professor Severo Pessoa,,70.91,2,1,2,1580.0
