,modo,tipo,bairro,rua,numero,metros_quadrados,quartos,vagas,banheiros,valor
0,venda,Loja,Ondina, Avenida Adhemar de Barros,,60.0,0,0,0,420000
1,venda,Apartamento,Jardim Apipema, Rua Nita Costa,,110.0,3,1,3,650000
2,venda,Sala,Centro, Travessa da Ajuda,2.0,31.8,0,0,0,98000
3,venda,Apartamento,Liberdade, Estrada da Liberdade,170.0,63.0,2,0,1,125000
4,venda,Sala,Pituba, Rua Rio Grande do Sul,332.0,28.32,0,0,0,140000
5,venda,Apartamento,Trobogy, Rua Deputado Jairo Azi,161.0,62.0,2,1,2,150000
6,venda,Casa,Vila Laura, Avenida Brasil,64.0,47.0,2,0,1,150000
7,venda,Loja,Politeama, Rua Clóvis Spínola,40.0,30.0,0,0,1,150000
8,venda,Sala,Stiep, Rua José Peroba,297.0,29.0,0,1,0,150000
9,venda,Apartamento,Federação, Rua Engenheiro Jaime Zaverucha,277.0,47.0,2,0,1,180000
10,venda,Sala,São Cristóvão, Avenida Luís Viana,13226.0,33.57,0,1,1,190000
11,venda,Apartamento,Bonfim, Rua Parque São José,29.0,58.0,3,1,1,195000
12,venda,Apartamento,Bonfim, Rua do Céu,17.0,65.0,2,1,1,198000
13,venda,Apartamento,Ribeira, Rua Eládio Paim,71.0,86.0,2,1,1,200000
14,venda,Casa,Politeama,,,56.0,2,0,2,200000
15,venda,Casa Comercial,Calçada, Rua Nilo Peçanha,136.0,165.0,4,1,2,200000
16,venda,Apartamento,Ribeira, Avenida Porto dos Mastros,1325.0,68.0,2,1,2,210000
17,venda,Apartamento,Dois de Julho, Rua Tuiuti,112.0,80.0,2,0,1,210000
18,venda,Apartamento,Bonfim, Rua Doutor Couto Maia,2.0,74.0,3,0,2,210000
19,venda,Apartamento,Federação, Rua Engenheiro Lídio Campos,,65.0,3,1,2,215000
20,venda,Apartamento,Nazaré, Rua Marujos do Brasil,193.0,94.0,2,0,3,225000
21,venda,Apartamento,Santa Teresa, Rua Hélio de Oliveira,685.0,71.0,2,1,3,230000
22,venda,Apartamento,São Cristóvão, Rua Leblon,210.0,200.0,4,0,1,230000
23,venda,Apartamento,Amaralina, Rua Visconde de Itaborahy,,45.03,1,1,1,235000
24,venda,Apartamento,Bonfim, Rua Jorge Simões,156.0,52.0,2,1,2,235000
25,venda,Apartamento,Acupe de Brotas, Rua Cael,,67.72,2,1,2,240000
26,venda,Sala,Caminho das Árvores, Rua Alceu Amoroso Lima,276.0,30.0,0,1,1,240000
27,venda,Apartamento,Pituba, Avenida Manoel Dias da Silva,1469.0,44.01,1,1,2,250000
28,venda,Apartamento,Santa Teresa, Rua Hélio de Oliveira,654.0,80.0,3,1,2,250000
29,venda,Apartamento,Dois de Julho, Avenida Sete de Setembro,846.0,96.0,2,0,2,260000
30,venda,Apartamento,Nazaré, Rua Francisco Ferraro,21.0,126.0,3,0,2,260000
31,venda,Apartamento,Vila Laura, Rua Nilson Costa,246.0,70.0,3,1,1,260000
32,venda,Apartamento,Campinas de Brotas, Vila São Roque,327.0,89.0,3,0,2,260000
33,venda,Apartamento,Caminho de Areia, Avenida Caminho de Areia,160.0,84.0,3,1,2,260000
34,venda,Apartamento,Cabula, Alameda Flamengo,190.0,48.0,2,1,2,265000
35,venda,Apartamento,Federação, Rua Professor Severo Pessoa,189.0,117.0,2,1,1,280000
36,venda,Apartamento,Pituba, Rua Pará,568.0,120.0,4,1,2,295000
37,venda,Apartamento,Barbalho, Rua Professor Viegas,485.0,78.0,3,2,1,300000
38,venda,Sala,Caminho das Árvores, Rua Coronel Almerindo Rehem,,54.78,0,2,2,300000
39,venda,Apartamento,Parque Bela Vista, Rua Ararendá,136.0,120.0,4,1,1,320000
40,venda,Casa,Massaranduba, Rua Santos Titara,69.0,267.0,2,1,2,320000
41,venda,Casa,Roma, Rua Araújo Bulcão,21.0,246.0,6,1,4,320000
42,venda,Casa,Stella Maris, Rua Paulo Freire,13.0,110.0,3,1,2,330000
43,venda,Apartamento,Barra, Rua Engenheiro Milton Oliveira,115.0,54.52,2,1,2,350000
44,venda,Apartamento,Graça, Rua Manoel Barreto,,90.0,3,0,2,350000
